File Name,Max Deformation,X,Y,Z
0,0.16153,-1428.3,15.721,68.879
1,30.653,-457.07,6.4915,28.441
10,11.441,-1683.3,26.535,6.0565
100,7.5123,117.49,6.709,29.394
1000,7.7629,503.88,0.0,-50.8
1001,3.4155,514.01,0.0,50.8
1002,5.5001,-661.56,10.665,46.728
1003,0.78959,-1531.5,0.0,50.8
1004,2.5583,-727.03,10.665,46.728
1005,1.7859,-1148.4,20.796,43.183
1006,0.97651,640.96,0.0,50.8
1007,3.2971,1107.1,10.665,46.728
1008,0.83969,-946.83,0.0,50.8
1009,6.9704,543.23,0.0,50.8
101,18.964,907.46,21.279,16.97
1010,6.4153,184.45,10.665,46.728
1011,0.99411,-712.7,0.0,-50.8
1012,2.8875,392.4,0.0,-50.8
1013,0.57435,1256.5,0.0,-50.8
1014,4.2495,-377.23,0.0,-50.8
1015,0.465,508.42,0.0,-50.8
1016,0.15197,494.45,0.0,50.8
1017,0.062509,-115.25,0.0,50.8
1018,0.43762,-876.55,0.0,50.8
1019,1.627,-273.57,10.985,48.127
102,5.4846,130.63,0.0,30.15
1020,0.93203,-274.04,0.0,50.8
1021,1.9685,-921.95,9.9556,43.618
1022,0.79324,-501.41,0.0,50.8
1023,1.7857,-1311.7,19.412,40.309
1024,0.25204,-1624.0,10.855,47.557
1025,0.52032,184.82,0.0,50.8
1026,0.23023,-1969.6,10.855,-47.557
1027,1.484,-744.11,9.9556,-43.618
1028,0.3267,-1283.2,11.304,-49.526
1029,2.8045,321.05,10.855,47.557
103,1.0322,590.12,12.657,26.284
1030,0.36252,1788.8,0.0,-50.8
1031,0.55879,-451.88,0.0,50.8
1032,0.45201,294.38,0.0,50.8
1033,6.1301,210.35,10.405,45.588
1034,1.5505,-442.06,11.304,49.526
1035,1.5685,1276.9,10.405,45.588
1036,5.6847,135.08,10.855,47.557
1037,0.67172,-1576.6,0.0,50.8
1038,0.11381,-179.07,0.0,50.8
1039,0.27903,-255.83,0.0,50.8
104,0.87526,845.35,0.0,30.15
1040,0.031808,-547.87,0.0,50.8
1041,1.1918,238.51,0.0,-50.8
1042,0.90926,-1677.1,0.0,-50.8
1043,0.92926,1977.2,0.0,-50.8
1044,0.69883,993.41,0.0,-50.8
1045,0.28772,81.0,0.0,-50.8
1046,0.3039,-790.26,0.0,50.8
1047,2.1478,-176.93,0.0,50.8
1048,0.10006,-840.99,0.0,50.8
1049,1.0073,-467.74,11.304,49.526
105,17.853,-755.3,21.279,16.97
1050,0.47285,1970.1,0.0,50.8
1051,4.4309,-877.9,11.304,49.526
1052,4.1406,-447.11,10.855,47.557
1053,1.5112,228.93,0.0,50.8
1054,2.0992,-1490.1,0.0,50.8
1055,17.787,-4293.0,50.8,0.0
1056,5.435,-30.2,0.0,-114.3
1057,0.51111,-368.07,0.0,-50.8
1058,0.7547,904.06,0.0,-50.8
1059,0.063,30.2,-9.9619,-113.87
106,69.264,-320.28,6.4915,28.441
1060,1.0479,231.66,0.0,-50.8
1061,0.1213,-124.0,0.0,50.8
1062,0.79844,1242.9,0.0,50.8
1063,1.6868,-210.15,10.405,45.588
1064,0.044866,458.77,0.0,50.8
1065,0.082751,778.65,0.0,50.8
1066,0.025005,-420.17,0.0,50.8
1067,1.2917,-912.78,9.9556,43.618
1068,0.24229,-119.31,0.0,50.8
1069,3.3596,601.42,11.304,49.526
107,9.8312,-338.67,0.0,30.15
1070,0.12082,894.96,0.0,50.8
1071,0.34169,1217.4,0.0,50.8
1072,0.30776,-1141.1,0.0,-50.8
1073,1.4396,773.26,0.0,-50.8
1074,1.095,453.57,0.0,-50.8
1075,0.49175,839.6,0.0,50.8
